Type,Selection,Count,BAR0,BAR1,Address,Size,Mask,Data,Option short,Option long,Value short,Value long
1,0,0,0x10,0x14,0x70008,4,0x0000001c,0x00000000,dithering,Dithering,no-a,Disable [Pipe A]
1,0,1,0x10,0x14,0x71008,4,0x0000001c,0x00000000,dithering,Dithering,no-b,Disable [Pipe B]
1,0,2,0x10,0x14,0x72008,4,0x0000001c,0x00000000,dithering,Dithering,no-c,Disable [Pipe C]
1,1,0,0x10,0x14,0x70008,4,0x0000001c,0x00000010,dithering,Dithering,sp-a,Spatial [Pipe A]
1,1,1,0x10,0x14,0x71008,4,0x0000001c,0x00000010,dithering,Dithering,sp-b,Spatial [Pipe B]
1,1,2,0x10,0x14,0x72008,4,0x0000001c,0x00000010,dithering,Dithering,sp-c,Spatial [Pipe C]
1,2,0,0x10,0x14,0x70008,4,0x0000001c,0x00000014,dithering,Dithering,st1-a,Spatio-Temporal 1 [Pipe A]
1,2,1,0x10,0x14,0x71008,4,0x0000001c,0x00000014,dithering,Dithering,st1-b,Spatio-Temporal 1 [Pipe B]
1,2,2,0x10,0x14,0x72008,4,0x0000001c,0x00000014,dithering,Dithering,st1-c,Spatio-Temporal 1 [Pipe C]
1,3,0,0x10,0x14,0x70008,4,0x0000001c,0x00000018,dithering,Dithering,st2-a,Spatio-Temporal 2 [Pipe A]
1,3,1,0x10,0x14,0x71008,4,0x0000001c,0x00000018,dithering,Dithering,st2-b,Spatio-Temporal 2 [Pipe B]
1,3,2,0x10,0x14,0x72008,4,0x0000001c,0x00000018,dithering,Dithering,st2-c,Spatio-Temporal 2 [Pipe C]
1,4,0,0x10,0x14,0x70008,4,0x0000001c,0x0000001c,dithering,Dithering,tm-a,Temporal [Pipe A]
1,4,1,0x10,0x14,0x71008,4,0x0000001c,0x0000001c,dithering,Dithering,tm-b,Temporal [Pipe B]
1,4,2,0x10,0x14,0x72008,4,0x0000001c,0x0000001c,dithering,Dithering,tm-c,Temporal [Pipe C]
2,0,0,0x10,0x14,0x70008,4,0x0000001c,0x00000000,dithering,Dithering,no-a,Disable [Pipe A]
2,0,1,0x10,0x14,0x71008,4,0x0000001c,0x00000000,dithering,Dithering,no-b,Disable [Pipe B]
2,0,2,0x10,0x14,0x72008,4,0x0000001c,0x00000000,dithering,Dithering,no-c,Disable [Pipe C]
2,0,3,0x10,0x14,0x7f008,4,0x0000001c,0x00000000,dithering,Dithering,no-e,Disable [eDP]
2,1,0,0x10,0x14,0x70008,4,0x0000001c,0x00000010,dithering,Dithering,sp-a,Spatial [Pipe A]
2,1,1,0x10,0x14,0x71008,4,0x0000001c,0x00000010,dithering,Dithering,sp-b,Spatial [Pipe B]
2,1,2,0x10,0x14,0x72008,4,0x0000001c,0x00000010,dithering,Dithering,sp-c,Spatial [Pipe C]
2,1,3,0x10,0x14,0x7f008,4,0x0000001c,0x00000010,dithering,Dithering,sp-e,Spatial [eDP]
2,2,0,0x10,0x14,0x70008,4,0x0000001c,0x00000014,dithering,Dithering,st1-a,Spatio-Temporal 1 [Pipe A]
2,2,1,0x10,0x14,0x71008,4,0x0000001c,0x00000014,dithering,Dithering,st1-b,Spatio-Temporal 1 [Pipe B]
2,2,2,0x10,0x14,0x72008,4,0x0000001c,0x00000014,dithering,Dithering,st1-c,Spatio-Temporal 1 [Pipe C]
2,2,3,0x10,0x14,0x7f008,4,0x0000001c,0x00000014,dithering,Dithering,st1-e,Spatio-Temporal 1 [eDP]
2,3,0,0x10,0x14,0x70008,4,0x0000001c,0x00000018,dithering,Dithering,st2-a,Spatio-Temporal 2 [Pipe A]
2,3,1,0x10,0x14,0x71008,4,0x0000001c,0x00000018,dithering,Dithering,st2-b,Spatio-Temporal 2 [Pipe B]
2,3,2,0x10,0x14,0x72008,4,0x0000001c,0x00000018,dithering,Dithering,st2-c,Spatio-Temporal 2 [Pipe C]
2,3,3,0x10,0x14,0x7f008,4,0x0000001c,0x00000018,dithering,Dithering,st2-e,Spatio-Temporal 2 [eDP]
2,4,0,0x10,0x14,0x70008,4,0x0000001c,0x0000001c,dithering,Dithering,tm-a,Temporal [Pipe A]
2,4,1,0x10,0x14,0x71008,4,0x0000001c,0x0000001c,dithering,Dithering,tm-b,Temporal [Pipe B]
2,4,2,0x10,0x14,0x72008,4,0x0000001c,0x0000001c,dithering,Dithering,tm-c,Temporal [Pipe C]
2,4,3,0x10,0x14,0x7f008,4,0x0000001c,0x0000001c,dithering,Dithering,tm-e,Temporal [eDP]
